番号,単語,品詞,発音記号,意味,短い意味,ニュアンス解説,コロケーション,例文_英語,例文_日本語,言い換え,メモ
328,escalation of violence,noun,/ˌeskəˈleɪʃən əv ˈvaɪələns/,暴力の激化,an increase in the level of violence,対立や衝突がさらに暴力的になることを表す。警察・戦争・抗議活動の話題で使いやすい。,prevent escalation of violence / risk of escalation of violence / lead to escalation of violence / rapid escalation of violence,Poor crowd control can lead to an escalation of violence.,不十分な群衆管理は暴力の激化につながる可能性がある。,increase in violence; intensification of violence; worsening violence; violent escalation,Task 2のcrime・public orderで便利。
329,public perception,noun,/ˈpʌblɪk pərˈsepʃən/,世間の認識、社会の受け止め方,how the public sees something,ある政策・制度・事件について、人々がどう感じたり理解したりしているかを表す。世論や信頼を説明する時に便利。,public perception of police / shape public perception / negative public perception / change public perception,Public perception of the police can affect cooperation between officers and communities.,警察に対する世間の認識は、警察官と地域社会の協力に影響を与える可能性がある。,public opinion; social attitude; public view; common perception,Task 2のpolicing・media・policy topicで使いやすい。
330,criminal,noun,/ˈkrɪmɪnəl/,犯罪者,a person who commits a crime,犯罪を犯した人を指す基本語。形容詞では「犯罪の」という意味にもなるため、文脈に注意。,convicted criminal / violent criminal / catch criminals / punish criminals,Not all criminals should receive the same type of punishment.,すべての犯罪者が同じ種類の罰を受けるべきではない。,offender; lawbreaker; culprit; wrongdoer,Task 2のcrime topicで基本語。
331,offender,noun,/əˈfendər/,犯罪者、違反者,a person who breaks the law,法律や規則に違反した人を指す。“criminal” より少し制度的・法律的な響きがあり、若者犯罪などでよく使う。,young offenders / repeat offenders / first-time offenders / rehabilitate offenders,Education programmes can help offenders reintegrate into society.,教育プログラムは犯罪者が社会に再統合するのを助けることができる。,criminal; lawbreaker; culprit; wrongdoer,Task 2のcrime and punishmentで非常に使いやすい。
332,gun-related crime,noun,/ˈɡʌn rɪˌleɪtɪd kraɪm/,銃関連犯罪,crime involving guns,銃が使われる犯罪全般を指す表現。治安・警察・銃規制のTask 2で使いやすい。,gun-related crime rates / reduce gun-related crime / gun-related crime in cities / prevent gun-related crime,Stricter firearm regulations may help reduce gun-related crime.,より厳しい銃規制は銃関連犯罪を減らすのに役立つかもしれない。,firearm crime; gun violence; armed crime; weapon-related crime,Task 2のcrimeやpublic safety topicで便利。
333,firearm,noun,/ˈfaɪərɑːrm/,銃器,a gun that can be carried,拳銃やライフルなどの銃器を指すフォーマルな語。“gun” より法律・政策の文脈で使いやすい。,carry a firearm / firearm ownership / firearm regulations / firearm-related deaths,Police officers in some countries routinely carry firearms.,一部の国では警察官が日常的に銃器を携帯している。,gun; weapon; handgun; rifle,Task 2のgun controlやpolicing topicで重要。
334,homicide,noun,/ˈhɑːmɪsaɪd/,殺人、人を殺すこと,the killing of one person by another,法律・犯罪統計で使われる語。“murder” は意図的な殺人を指すことが多いが、“homicide” は人が人を殺す行為全般を指す。,homicide rate / firearm homicide / commit homicide / homicide cases,The homicide rate declined after new safety measures were introduced.,新しい安全対策が導入された後、殺人率は低下した。,murder; killing; manslaughter; fatal violence,Task 2のcrime topicやReadingで出やすい。
335,assault,noun,/əˈsɔːlt/,暴行、攻撃,a violent attack on someone,人に対する暴力的な攻撃を指す。法律や犯罪の文脈でよく使われ、身体的な暴力を説明する時に便利。,physical assault / sexual assault / assault cases / commit assault,Public cameras may help reduce assault in crowded areas.,公共カメラは混雑した地域での暴行を減らすのに役立つかもしれない。,attack; violence; physical attack; aggression,Task 2のcrimeやpublic safety topicで使える。
336,armed robbery,noun,/ˌɑːrmd ˈrɑːbəri/,武装強盗,robbery using a weapon,武器を使って人を脅し、物やお金を奪う犯罪を指す。“robbery” より危険性が高いニュアンス。,commit armed robbery / armed robbery cases / prevent armed robbery / armed robbery with a firearm,Stricter gun control may reduce the risk of armed robbery.,より厳しい銃規制は武装強盗のリスクを減らすかもしれない。,violent robbery; robbery with a weapon; gun robbery; aggravated robbery,Task 2のcrime topicで使える。
337,vulnerable,adjective,/ˈvʌlnərəbl/,弱い、被害を受けやすい,easily harmed or affected,子ども・高齢者・低所得者・環境など、悪影響を受けやすい対象に使う。社会問題や環境問題で非常に使いやすい。,vulnerable people / vulnerable groups / vulnerable to crime / protect vulnerable communities,Children are particularly vulnerable to online risks.,子どもはオンライン上のリスクに特に影響を受けやすい。,at risk; exposed; susceptible; defenseless,Task 2のhealth・technology・crime・inequalityで便利。
